phase_id,feature_id,feature_name,description,status,component_type,target_file,acceptance_criteria,technical_notes
1,1.1,Route Setup,Definisi routes untuk donatur CRUD dan API,completed,backend,routes/web.php,Semua 17 endpoints accessible,"GET /donatur, GET /donatur/{id}, POST /donatur, PUT /donatur/{id}, DELETE /donatur/{id}, GET /api/donatur/crm/stats, GET /api/donatur/crm/segments, GET /api/donatur/{id}/history, POST /api/donatur/{id}/note, GET /api/donatur/check-phone/{phone}, POST /api/donatur/bulk/delete, POST /api/donatur/bulk/assign, GET /api/donatur/export/excel"
1,1.2,Controller Setup,DonaturCrmController dengan semua methods,completed,backend,app/Http/Controllers/DonaturCrmController.php,Controller dengan 15+ methods,"index(), apiIndex(), show(), apiShow(), store(), update(), destroy(), stats(), segments(), history(), addNote(), checkPhone(), bulkDelete(), bulkAssign(), export(), + helper methods"
1,1.3,Base View,Halaman utama dengan sidebar terintegrasi,completed,frontend,resources/views/donatur/index.blade.php,View render dengan sidebar sama seperti analisis-donatur,Sidebar + Stats Cards + Segments + Table + Modals placeholder
1,1.4,Alpine Data Structure,Setup Alpine.js data dan state management,completed,frontend,resources/views/donatur/index.blade.php,Alpine x-data dengan semua state terdefinisi,"State: filters{}, table{}, stats{}, segments{}, selectedDonatur{}, modals{}, loading{}, selectedIds[], detailPanel{}, formData{}, deleteConfirm{}"
2,2.1,Stats Query - Total,Query total donatur dari tabel donaturs,completed,backend,DonaturCrmController.php,Return count total donatur,Donatur::count() di stats() method
2,2.2,Stats Query - New,Query donatur baru bulan ini,completed,backend,DonaturCrmController.php,Return count registrasi bulan ini,whereMonth + whereYear tanggal_registrasi
2,2.3,Stats Query - Active,Query donatur aktif (donasi 30 hari terakhir),completed,backend,DonaturCrmController.php,Return count donatur dengan donasi 30 hari,JOIN laporans WHERE tanggal >= now()-30days
2,2.4,Stats Query - AtRisk,Query donatur at risk (donasi 60-90 hari lalu),completed,backend,DonaturCrmController.php,Return count donatur last donation 60-90 hari,getSegmentPhones('at_risk') count
2,2.5,Stats Query - Churned,Query donatur churned (donasi >90 hari lalu),completed,backend,DonaturCrmController.php,Return count donatur last donation >90 hari,getSegmentPhones('churned') count
2,2.6,Stats Query - VIP,Query donatur VIP (total >10jt OR trx >10),completed,backend,DonaturCrmController.php,Return count donatur VIP,getSegmentPhones('vip') count
2,2.7,Stats Cards UI,6 stat cards dengan icons dan nilai,completed,frontend,index.blade.php,6 cards responsive dengan loading state,Grid 2x3 mobile / 3x2 md / 6x1 lg
2,2.8,Mini Chart Acquisition,Line chart donatur baru 12 bulan,not_started,frontend,index.blade.php,Chart.js line chart dengan 12 data points,Query GROUP BY MONTH(tanggal_registrasi)
2,2.9,Mini Chart Kategori,Pie chart Retail/Corporate/Community,not_started,frontend,index.blade.php,Chart.js pie dengan 3 segments,Query GROUP BY kat_donatur
3,3.1,Segment VIP Query,Donatur total donasi >=10jt OR transaksi >=10,completed,backend,DonaturCrmController.php,Return count dan list no_hp VIP,getSegmentPhones('vip') - HAVING SUM>=10000000 OR COUNT>=10
3,3.2,Segment Loyal Query,Donatur dengan >=3 transaksi dalam 6 bulan,completed,backend,DonaturCrmController.php,Return count dan list no_hp Loyal,getSegmentPhones('loyal') - WHERE tanggal>=6mo HAVING COUNT>=3
3,3.3,Segment New Query,Donatur registrasi <30 hari,completed,backend,DonaturCrmController.php,Return count dan list,getSegmentPhones('new') - WHERE tanggal_registrasi>=now-30d
3,3.4,Segment OneTime Query,Donatur dengan tepat 1 transaksi,completed,backend,DonaturCrmController.php,Return count dan list no_hp,getSegmentPhones('one_time') - HAVING COUNT=1
3,3.5,Segment AtRisk Query,Donatur last donation 60-90 hari,completed,backend,DonaturCrmController.php,Return count dan list no_hp,getSegmentPhones('at_risk') - HAVING MAX BETWEEN 60-90d
3,3.6,Segment Churned Query,Donatur last donation >90 hari,completed,backend,DonaturCrmController.php,Return count dan list no_hp,getSegmentPhones('churned') - HAVING MAX < 90d ago
3,3.7,Segment NeverDonated Query,Donatur tanpa record di laporans,completed,backend,DonaturCrmController.php,Return count dan list,getSegmentPhones('never_donated') - whereNotIn donated phones
3,3.8,Segment Cards UI,7 clickable segment cards,completed,frontend,index.blade.php,Cards dengan icon/count/click handler,template x-for dengan @click filterBySegment
3,3.9,Segment Filter Integration,Filter tabel by segment,completed,frontend,index.blade.php,Tabel auto-filter saat segment diklik,filters.segment + applySegmentFilter di backend
4,4.1,Table Query Base,Query donatur dengan join laporans,completed,backend,DonaturCrmController.php,Return paginated donatur dengan metrics,apiIndex() - leftJoin + SUM/COUNT/MAX aggregates
4,4.2,Table Query Filters,Apply semua filter ke query,completed,backend,DonaturCrmController.php,Query support semua filter params,"search, kat_donatur, nama_cs, segment + applySegmentFilter()"
4,4.3,Table Query Sorting,Sorting by column,completed,backend,DonaturCrmController.php,Query support orderBy param,"sortable: created_at, nama_donatur, tanggal_registrasi, lifetime_value, frequency, last_donation"
4,4.4,Table Columns UI Desktop,Tabel dengan 9 kolom,completed,frontend,index.blade.php,Tabel responsive dengan kolom utama,"Checkbox, Avatar+Name+DID, Contact, CS, Segment, LTV, Freq, Score, Actions"
4,4.5,Table Mobile Card View,Card view untuk mobile,not_started,frontend,index.blade.php,Cards dengan info key + actions,Belum implement - pakai hidden columns dulu
4,4.6,Advanced Filters UI,Panel filter lengkap,completed,frontend,index.blade.php,Filter dasar functional,"Search, Select Kategori, Select CS, Segment badge clear"
4,4.7,Sorting UI,Clickable column headers,completed,frontend,index.blade.php,Sort icon dan click handler,sortBy() method + arrow icons
4,4.8,Pagination UI,Pagination dengan info,completed,frontend,index.blade.php,Navigation + showing X of Y,prevPage/nextPage + info text
4,4.9,Loading States,Loading overlay untuk table,completed,frontend,index.blade.php,Spinner saat loading data,loading.table + spinner row
5,5.1,Detail Panel Container,Slide panel dari kanan,completed,frontend,index.blade.php,Panel slide dengan backdrop,Fixed position right-0 dengan transition transform
5,5.2,Profile Header UI,Header dengan avatar dan info,completed,frontend,index.blade.php,Avatar/Name/DID/Contact/Badges tampil,Segment badge + kategori badge
5,5.3,Quick Action Buttons,Tombol WhatsApp/Edit/Note,completed,frontend,index.blade.php,3 action buttons functional,@click handlers untuk setiap action
5,5.4,Tab Navigation,Tab switcher Overview/History/Activity/Notes,completed,frontend,index.blade.php,4 tabs dengan active state,Alpine state untuk activeTab
5,5.5,Tab Overview Content,Stats overview donatur,completed,frontend,index.blade.php,LTV/TotalTrx/Avg/First/Last/Score tampil,Grid layout dengan labels
5,5.6,Tab History Content,Timeline donasi,completed,frontend,index.blade.php,List transaksi dari laporans,Fetch dari /donatur/{id}/history endpoint
5,5.7,Tab History Query,Query history donasi,completed,backend,DonaturCrmController.php,Return list transaksi donatur,SELECT * FROM laporans WHERE no_hp = ? ORDER BY tanggal DESC
5,5.8,Tab Activity Content,Timeline aktivitas (placeholder),completed,frontend,index.blade.php,UI ready untuk Phase 10,Empty state dengan message
5,5.9,Tab Notes Content,List notes (placeholder),completed,frontend,index.blade.php,UI ready untuk Phase 10,Empty state dengan message
6,6.1,RFM Formula Definition,Define bobot dan formula,completed,backend,DonaturCrmController.php,Formula documented dan implemented,calculateEngagementScore() - R30% F30% M25% T15%
6,6.2,Recency Score Calc,Hitung score recency 0-100,completed,backend,DonaturCrmController.php,Score berdasarkan days since last donation,"0-7d=100, 8-30=80, 31-60=60, 61-90=40, 91-180=20, >180=0"
6,6.3,Frequency Score Calc,Hitung score frequency 0-100,completed,backend,DonaturCrmController.php,Score berdasarkan jumlah transaksi,">=10=100, 7-9=80, 4-6=60, 2-3=40, 1=20, 0=0"
6,6.4,Monetary Score Calc,Hitung score monetary 0-100,completed,backend,DonaturCrmController.php,Score berdasarkan total donasi,">=10jt=100, 5-10jt=80, 1-5jt=60, 500k-1jt=40, 100k-500k=20, <100k=0"
6,6.5,Tenure Score Calc,Hitung score tenure 0-100,completed,backend,DonaturCrmController.php,Score berdasarkan lama jadi donatur,">=24mo=100, 12-24=80, 6-12=60, 3-6=40, 1-3=20, <1=0"
6,6.6,Final Score Calc,Weighted average score,completed,backend,DonaturCrmController.php,Score 0-100 dengan bobot,"round((R*0.30)+(F*0.30)+(M*0.25)+(T*0.15))"
6,6.7,Score Badge UI,Badge Hot/Warm/Cold,completed,frontend,index.blade.php,Badge warna sesuai score,"score-hot(green), score-warm(yellow), score-cold(red) classes"
6,6.8,Score in Table Query,Include score di table query,completed,backend,DonaturCrmController.php,Score dihitung per row,formatDonaturData() calls calculateEngagementScore()
7,7.1,Tasks Query - VIP,Query VIP belum donasi 30 hari,completed,backend,DonaturCrmController.php,Return list VIP at risk,VIP segment + last_donation > 30 days
7,7.2,Tasks Query - AtRisk,Query donatur at risk,completed,backend,DonaturCrmController.php,Return list at risk untuk follow-up,AtRisk segment dengan limit
7,7.3,Tasks Query - NewWelcome,Query new donor belum di-welcome,completed,backend,DonaturCrmController.php,Return list new donor,New segment (bisa extend dengan welcome flag nanti)
7,7.4,Tasks Priority Cards UI,3 cards High/Medium/Low,completed,frontend,index.blade.php,Cards dengan count per priority,"Red=High(VIP), Orange=Medium(AtRisk), Yellow=Low(New)"
7,7.5,Follow-up Queue UI,List donatur dalam queue,completed,frontend,index.blade.php,Scrollable list dengan actions,Quick actions: WA / Call / Mark Done
7,7.6,Mark Done Handler,Update status follow-up,completed,fullstack,DonaturCrmController.php + index.blade.php,Click mark done -> update state,(Simplified: just remove from UI untuk MVP)
8,8.1,Create Modal UI,Modal form tambah donatur,completed,frontend,index.blade.php,Modal dengan semua fields,Form fields sesuai Donatur model
8,8.2,Edit Modal UI,Modal form edit donatur,completed,frontend,index.blade.php,Modal pre-filled dengan data,Fetch data saat open modal
8,8.3,Form Fields,Semua input fields,completed,frontend,index.blade.php,15 fields dengan proper types,"nama_cs(select), kat_donatur(select), kode_donatur(select), kode_negara(select), no_hp, tanggal_registrasi(date), nama_donatur, nama_panggilan, jenis_kelamin(select), email, alamat(textarea), sosmed_account, program, channel, fundraiser, keterangan(textarea)"
8,8.4,Client Validation,Validasi di frontend,completed,frontend,index.blade.php,Required fields highlighted,Alpine validation state
