phase,task_id,task_name,description,status,priority,estimated_effort,dependencies,notes
1,1.1,Setup Sidebar Layout,Menambahkan sidebar responsive langsung ke halaman analisis-donatur,completed,high,1 day,none,Sidebar ditambahkan di index.blade.php dengan style konsisten
1,1.2,Create Navigation Menu,Membuat struktur menu navigasi berdasarkan resource Filament yang ada,completed,high,0.5 day,1.1,Menu lengkap dengan submenu dan icons
1,1.3,User Authentication UI,Menambahkan user info dan logout button di sidebar,completed,high,0.5 day,1.1,User dropdown di bagian bawah sidebar
1,1.4,Sidebar Integration,Integrasi sidebar ke halaman analisis-donatur yang sudah ada,completed,high,0.5 day,"1.1,1.2,1.3",Tidak buat layout baru - langsung embed di halaman
2,2.1,Dashboard/Analisis Donatur,Halaman utama dashboard dengan statistik dan chart,completed,high,1 day,1.4,Analisis Donatur = Dashboard utama
2,2.2,Donatur Management,CRUD halaman donatur dengan search dan filter,not_started,high,2 days,1.4,Saat ini link ke /admin/donaturs (Filament)
2,2.3,Customer Service List,Halaman daftar CS,not_started,high,1 day,1.4,Saat ini link ke /admin/customer-services (Filament)
2,2.4,CS Performance,Halaman performa bulanan CS dengan chart,not_started,high,1.5 days,1.4,Saat ini link ke /admin/c-s-monthly-performances (Filament)
3,3.1,Laporan Perolehan,Halaman laporan perolehan dengan CRUD,not_started,high,2 days,1.4,Saat ini link ke /admin/laporan-perolehan (Filament)
3,3.2,Laporan Bulanan,Halaman laporan bulanan 2025,not_started,medium,1.5 days,1.4,Saat ini link ke /admin/laporanbulanan2025s (Filament)
3,3.3,Laporan Ramadhan,Halaman laporan ramadhan,not_started,low,1.5 days,1.4,Saat ini link ke /admin/laporan-ramadhans (Filament)
4,4.1,Kwitansi v1,Halaman kwitansi versi 1,not_started,medium,1.5 days,1.4,Saat ini link ke /admin/kwitansis (Filament)
4,4.2,Kwitansi v2,Halaman kwitansi versi 2,not_started,medium,1.5 days,1.4,Saat ini link ke /admin/kwitansiv2s (Filament)
5,5.1,Data Pegawai,CRUD halaman data pegawai,not_started,medium,1.5 days,1.4,Saat ini link ke /admin/data-pegawais (Filament)
5,5.2,Absensi,Halaman absensi dengan calendar view,not_started,medium,2 days,1.4,Saat ini link ke /admin/absensis (Filament)
5,5.3,Partnership,CRUD halaman partnership,not_started,low,1 day,1.4,Saat ini link ke /admin/parterships (Filament)
5,5.4,Penyebaran Toko,Halaman penyebaran toko,not_started,low,1.5 days,1.4,Saat ini link ke /admin/penyebaran-tokos (Filament)
6,6.1,User Management,CRUD halaman user dengan role management,not_started,medium,1.5 days,1.4,Saat ini link ke /admin/users (Filament)
6,6.2,Global Search,Implementasi pencarian global di semua data,not_started,low,2 days,all,Fitur tambahan
6,6.3,Notification System,Sistem notifikasi untuk update penting,not_started,low,1.5 days,1.4,Fitur tambahan
7,7.1,Testing All Pages,Testing semua halaman dan fitur,not_started,high,3 days,all,Setelah semua halaman selesai
7,7.2,Bug Fixing,Perbaikan bug yang ditemukan saat testing,not_started,high,2 days,7.1,
7,7.3,Performance Optimization,Optimasi performa query dan loading,not_started,medium,1.5 days,7.2,
7,7.4,Remove Filament Dependency,Hapus dependency Filament setelah semua migrasi selesai,not_started,low,0.5 day,7.3,Optional - bisa tetap pakai Filament sebagai backup
