Phase,Task,Description,Status,Priority,Dependencies,Notes
1,1.1,Analisis struktur data CS dan Laporan yang ada,completed,high,none,CustomerService dan LaporanPerolehan sudah di-review
1,1.2,Buat Route untuk Performa CS,completed,high,1.1,Route GET /performa-cs + 8 API endpoints
1,1.3,Buat PerformaCsController.php,completed,high,1.2,Controller dengan semua method index dan API
1,1.4,Buat View Base Layout dengan Sidebar,completed,high,1.3,Full view dengan semua section sudah dibuat
2,2.1,Buat API endpoint overview-summary,completed,high,1.3,Total perolehan - donatur baru - donatur repeat - avg/hari - active CS
2,2.2,Implementasi Overview Cards di View,completed,high,2.1,5 summary cards dengan data dari API
2,2.3,Buat logic perhitungan periode comparison,completed,medium,2.1,Comparison vs periode sebelumnya untuk growth indicator
2,2.4,Tambah loading state untuk Overview,completed,low,2.2,Loading modal saat fetch data
3,3.1,Buat API endpoint h2h-comparison,completed,high,1.3,Support mode harian - mingguan - bulanan dengan 2 periode
3,3.2,Implementasi Tab Mode (Harian/Mingguan/Bulanan),completed,high,3.1,3 tab untuk switch mode perbandingan
3,3.3,Implementasi Date Picker untuk kedua periode,completed,high,3.1,Picker tanggal - minggu - bulan sesuai mode
3,3.4,Implementasi Table Comparison,completed,high,3.1,Table dengan CS - P1 - P2 - Selisih - Growth - Indicator
3,3.5,Tambah Visual Indicator (hijau/kuning/merah),completed,medium,3.4,Warna dan icon berdasarkan growth percentage
4,4.1,Buat API endpoint leaderboard,completed,high,1.3,Top earners - most improved - most productive - consistency
4,4.2,Implementasi Top Earners Leaderboard,completed,high,4.1,Ranking CS berdasarkan total perolehan
4,4.3,Implementasi Most Improved Leaderboard,completed,high,4.1,Ranking CS berdasarkan growth vs periode lalu
4,4.4,Implementasi Tabs untuk switch leaderboard type,completed,medium,4.2,Tab untuk Top Earners - Most Improved - Most Productive
5,5.1,Buat API endpoint cs-list dengan stats,completed,high,1.3,List semua CS dengan summary stats masing-masing
5,5.2,Implementasi CS Cards List,completed,high,5.1,Card per CS dengan foto - nama - tim - total - donatur count
5,5.3,Implementasi Search CS,completed,medium,5.2,Filter pencarian nama CS
5,5.4,Implementasi Filter Tim,completed,medium,5.2,Dropdown filter berdasarkan tim
6,6.1,Buat API endpoint cs-detail,completed,high,1.3,Detail lengkap per CS dengan history dan breakdown
6,6.2,Implementasi CS Detail Modal,completed,high,6.1,Modal popup dengan detail CS
6,6.3,Tampilkan Trend Chart di Detail,completed,medium,6.1,Line chart perolehan mingguan/bulanan
6,6.4,Tampilkan Breakdown Program di Detail,completed,medium,6.1,List perolehan per program
6,6.5,Tampilkan Activity History di Detail,completed,medium,6.1,List laporan terbaru dari CS tersebut
7,7.1,Buat API endpoint insights-alerts,completed,high,1.3,CS inactive - performance drop - rising star
7,7.2,Implementasi Alerts Section,completed,high,7.1,Box alerts dengan CS inactive dan performance drop
7,7.3,Implementasi Best Practices Section,completed,medium,7.1,Insight tentang channel - program - waktu terbaik
7,7.4,Tambah Click Action untuk setiap alert,completed,low,7.2,Klik alert untuk lihat detail CS terkait
8,8.1,Implementasi Bar Chart H2H Comparison,completed,high,3.4,Chart.js bar chart side-by-side comparison
8,8.2,Implementasi Trend Line Chart,completed,medium,6.3,Chart.js line chart untuk trend performa CS
8,8.3,Implementasi Pie Chart Program Breakdown,not-started,low,6.4,Chart.js pie chart untuk breakdown program
9,9.1,Buat API endpoint export,completed,medium,3.1,Export data comparison ke CSV
9,9.2,Implementasi Export Button dan Download,completed,medium,9.1,Button export dengan download
10,10.1,Mobile Responsive - Overview Cards,completed,medium,2.2,2 col grid on mobile
10,10.2,Mobile Responsive - H2H Section,completed,medium,3.4,Scrollable table on mobile
10,10.3,Mobile Responsive - Leaderboard dan Insights,completed,medium,4.2,Stack layout on mobile
11,11.1,Testing semua API endpoints,not-started,high,9.2,Test dengan data real
11,11.2,Testing semua fitur interaktif,not-started,high,11.1,Test filter - search - modal - export
11,11.3,Final Review dan UI Polish,not-started,medium,11.2,Perbaikan UI dan final touches
