menu_id,menu_name,feature_id,feature_name,description,status,priority,notes
1,Dashboard (Analisis Donatur),1.1,Stats Cards,Total Donasi/Transaksi/Donatur Aktif/Rata-rata,completed,high,Sudah ada di index.blade.php
1,Dashboard (Analisis Donatur),1.2,Chart Perolehan Bulanan,Bar chart perbandingan per bulan,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.3,Chart per CS,Doughnut chart distribusi per CS,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.4,Chart Kategori Donasi,Pie chart (Cross Selling/Infaq/Wakaf/dll),completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.5,Chart Program,Bar chart distribusi program,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.6,Tabel Data Donatur,List transaksi dengan pagination,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.7,Filter Lengkap,Tahun/Tim/CS/Kategori/Status/Date Range,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.8,Export Excel,Export data ke Excel,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.9,Sidebar Navigation,Menu navigasi dengan submenu,completed,high,Sudah ada
2,Donatur,2.1,Halaman List,Tabel daftar donatur dengan pagination,not_started,high,
2,Donatur,2.2,Search & Filter,Cari nama/no HP + filter tidak donasi 2minggu/1bulan/2bulan/1tahun,not_started,high,
2,Donatur,2.3,Form Create,Form tambah donatur baru,not_started,high,
2,Donatur,2.4,Form Edit,Form edit data donatur,not_started,high,
2,Donatur,2.5,Delete Action,Hapus donatur dengan konfirmasi,not_started,medium,
2,Donatur,2.6,WhatsApp Button,Tombol buka chat WA langsung,not_started,high,
2,Donatur,2.7,Detail Modal,Modal detail info donatur + riwayat donasi,not_started,medium,
3,Customer Service,3.1,Halaman List CS,Tabel daftar CS dengan pagination,not_started,high,
3,Customer Service,3.2,Form Create/Edit CS,Form tambah/edit CS,not_started,high,
3,Customer Service,3.3,Delete CS,Hapus CS dengan konfirmasi,not_started,medium,
3,Customer Service,3.4,Performa Bulanan 2024,Tabel agregat perolehan per CS per bulan 2024,not_started,high,
3,Customer Service,3.5,Performa Bulanan 2025,Tabel agregat perolehan per CS per bulan 2025,not_started,high,
3,Customer Service,3.6,Chart Performa,Visualisasi chart performa CS,not_started,medium,
4,Laporan Perolehan,4.1,Halaman List,Tabel realtime laporan dengan pagination,not_started,high,
4,Laporan Perolehan,4.2,Form Create,Form input transaksi harian lengkap,not_started,high,
4,Laporan Perolehan,4.3,Auto-fill Donatur,Input no HP otomatis isi data donatur,not_started,high,
