phase,task,menu_name,current_link,status,notes
1,Identifikasi menu yang href="#",Daftar CS,coming-soon,completed,Submenu Customer Service - DONE
2,Identifikasi menu yang href="#",Performa Bulanan,coming-soon,completed,Submenu Customer Service - DONE
3,Identifikasi menu yang href="#",Input Laporan,coming-soon,completed,Submenu Laporan Lainnya - DONE
4,Identifikasi menu yang href="#",Laporan Bulanan,coming-soon,completed,Submenu Laporan Lainnya - DONE
5,Identifikasi menu yang href="#",Laporan Ramadhan,coming-soon,completed,Submenu Laporan Lainnya - DONE
6,Identifikasi menu yang href="#",Kwitansi v1,coming-soon,completed,Submenu Kwitansi - DONE
7,Identifikasi menu yang href="#",Kwitansi v2,coming-soon,completed,Submenu Kwitansi - DONE
8,Identifikasi menu yang href="#",Data Pegawai,coming-soon,completed,Menu HRD - DONE
9,Identifikasi menu yang href="#",Absensi,coming-soon,completed,Menu HRD - DONE
10,Identifikasi menu yang href="#",Partnership,coming-soon,completed,Menu Lainnya - DONE
11,Identifikasi menu yang href="#",Penyebaran Toko,coming-soon,completed,Menu Lainnya - DONE
12,Identifikasi menu yang href="#",Manajemen User,coming-soon,completed,Menu Lainnya - DONE
13,Identifikasi menu yang href="#",Pengaturan,coming-soon,completed,User Dropdown - DONE
14,Buat route coming-soon,Route,/coming-soon,completed,Route dan closure function sudah dibuat
15,Buat view coming-soon,View,resources/views/coming-soon,completed,Halaman coming soon sudah dibuat dengan UI konsisten
16,Update analisis-donatur sidebar,analisis-donatur/index.blade.php,-,completed,Semua menu sudah di-update ke coming-soon
17,Update performa-cs sidebar,performa-cs/index.blade.php,-,not_started,Perlu update sidebar yang sama
18,Update monitor-cs sidebar,monitor-cs/index.blade.php,-,not_started,Perlu update sidebar yang sama
19,Update laporan-perolehan sidebar,laporan-perolehan/index.blade.php,-,not_started,Perlu update sidebar yang sama
20,Update donatur sidebar,donatur/index.blade.php,-,not_started,Perlu update sidebar yang sama
